,T_ext,Sol_rad,T_Wall_Ins,T_Ins_Ins,T_Ins_Coat,T_int
2018-03-23 16:10:00,14.799280298,154.8790799,24.121416241,19.499153399999997,21.993179816999998,25.543415396999997
2018-03-23 16:15:00,14.592945113999999,125.4946293,24.10807228,19.713404874,21.638222959,25.538720173999998
2018-03-23 16:20:00,14.589090714,169.24319098,24.174014474000003,19.979283072999998,21.451417214,25.543935154
2018-03-23 16:25:00,15.472202818,259.7297994,24.169876169,20.173721497,22.131780323,25.547117961
2018-03-23 16:30:00,15.442165792,169.60776232,24.186968725999996,20.348262810999998,22.460466674,25.549718506
2018-03-23 16:35:00,15.033415592,166.98284862,24.165264432999997,20.488938959000002,22.322306660000002,25.549561485999998
2018-03-23 16:40:00,15.056275320000001,132.56731342,24.188075961,20.665511554,22.177607934,25.546204928
2018-03-23 16:45:00,14.890866346000001,118.2761166,24.192125253,20.787729748,21.814010252000003,25.550742406999998
2018-03-23 16:50:00,15.069508762000002,145.43668198,24.210785801,20.912837864,21.938050333,25.551200078
2018-03-23 16:55:00,15.210347411999999,145.91062474,24.254250100999997,21.042155219,22.294539868999998,25.5508057475
2018-03-23 17:00:00,15.5036988,131.91108498,24.265917081,21.126800672,22.192608134000004,25.558274165999997
2018-03-23 17:05:00,14.984772433999998,78.173268366,24.2765607805,21.1909113785,21.6187693145,25.5597560565
2018-03-23 17:10:00,15.090516542,56.736473137999994,24.297207334,21.26129913,20.913799311,25.561425775000004
2018-03-23 17:15:00,14.999790204000002,43.018257136,24.285793383,21.281859175,20.220676082000004,25.562953672
2018-03-23 17:20:00,14.892584091999998,30.029183828999997,24.273846582,21.281001974,19.627267542,25.567208844
2018-03-23 17:25:00,14.882118896,36.174649134,24.31409272,21.281664560000003,19.093980408,25.568815645
2018-03-23 17:30:00,14.768998505999999,40.257848226,24.329597088,21.237528965,18.680005576999996,25.571400044
2018-03-23 17:35:00,14.729478806,32.237278579999995,24.355056984999997,21.188292263999998,18.287948309999997,25.571967083
