#1 
double table1(576, 7)
	# Time (s)	(1)T_ext	(2)Sol_rad	(3)T_Wall_Ins	(4)T_Ins_Ins	(5)T_Ins_Coat	(6)T_int 
6987300.0	5.1685650372	0.0	24.478153296	16.315166154	4.2622087397	25.465242142
6987600.0	5.309941613	0.0	24.478022905000003	16.227330521	4.176513866600001	25.473403465
6987900.0	5.1823729144	0.0	24.415771494	16.133999132	4.0814259531	25.474554259
6988200.0	5.0437577254	0.0310000002	24.429482589	16.072803993	4.012416390499999	25.476208362
6988500.0	4.8925758258	0.0	24.395053754	15.996790283	3.9288674517	25.471733954
6988800.0	4.840616442	0.7549760285	24.350924257000003	15.909686865	3.8297524386	25.471482434
6989100.0	4.9265755134	0.3019904114	24.350016096	15.850699552	3.7528825236	25.474759347
6989400.0	4.8153630692	0.0	24.371160098	15.829123305	3.71423485325	25.473522107
6989700.0	4.6424653524	0.0	24.352063476	15.774108225	3.631167247	25.471670675
6990000.0	4.428604465	0.0832476028	24.327346947	15.714070196999998	3.5586013615	25.473041547
6990300.0	4.0463988982000005	0.1664952056	24.328137261	15.675127033	3.4434727083	25.473608767
6990600.0	4.2169389669	0.3123237447999999	24.340280127	15.635905652000002	3.3317139078	25.471103793
6990900.0	4.0758693182000005	0.3123237447999999	24.309695115	15.578182768	3.2044607189	25.46620366
6991200.0	3.9477446452	0.0	24.318941941	15.539257683	3.0930382374	25.46869319
6991500.0	3.4941300696	0.0	24.333948792	15.511065424	2.9951274554	25.47809882
6991800.0	3.1713233742	0.4684856172	24.308586766	15.458199762	2.853338362	25.480005006000003
6992100.0	3.3696233720000004	0.0	24.295189479	15.398852672	2.7413954103	25.485165336
6992400.0	3.0462725752	0.0	24.285030236	15.35545878	2.6182511153	25.482951403
6992700.0	2.8778914501	0.0	24.286248434500003	15.3243041705	2.51709736895	25.4792564685
6993000.0	2.7729581036	0.0	24.247339786	15.262558862	2.3963398111	25.4822973855
6993300.0	2.8433735382	0.1664952056	24.230634475	15.202313346	2.2847304237	25.485337385
6993600.0	2.8167587886	0.0832476028	24.216727911	15.150070964	2.1897987855	25.483548786
6993900.0	2.6386736866	1.291209248	24.196819843	15.09812469	2.1028491087	25.480885897
6994200.0	2.3979270108	0.5207332198	24.223776515	15.078225059	2.0320911658	25.478018315
6994500.0	2.419407403	0.0	24.220558885000003	15.038263246	1.9552043163	25.476946539
6994800.0	2.4720661672	0.1561618723999999	24.197256333	14.982700355	1.8577178914	25.47675737
6995100.0	2.3624021346	0.3123237447999999	24.212164642	14.949299158	1.7929554614	25.474622420000003
6995400.0	2.2347862516	0.3014094754	24.194428678	14.909893604	1.706695609	25.471604224
6995700.0	2.362820391	0.0103333334	24.175438517000003	14.851905709	1.6165011617	25.468894351
6996000.0	2.3346676476	0.0	24.146420994	14.792720468	1.5202534174999998	25.47240791
6996300.0	2.0298855632	1.3744568512000002	24.140220213	14.763905289499998	1.4596257646	25.4694611295
6996600.0	1.9170291746	0.0	24.119420534	14.712733486	1.3767393216	25.466892366
6996900.0	2.1815053988	0.0	24.141100295	14.706106853	1.3547724456	25.4663252545
6997200.0	2.4480868754	0.0	24.134264564	14.664957387	1.3507182089	25.466498128
6997500.0	2.2746689846	0.0	24.12001075	14.627671903	1.3112513669	25.46613545
6997800.0	2.273970092	0.0206666668	24.100728831	14.577499	1.2557101523999998	25.460573531
6998100.0	2.2605502294	0.0103333334	24.07218653	14.535390138	1.2004002884	25.464370709
6998400.0	2.1028414408	0.0310000002	24.082795937	14.508277022	1.1600864609	25.467631995
6998700.0	2.2155702128000003	0.0103333334	24.072078116	14.483514401	1.1100396735	25.465410138
6999000.0	2.3958891582	0.0	24.105612222	14.484437736	1.1217672344	25.466102662
6999300.0	2.9099844236	0.0	24.061621199	14.41441391	1.1206507007	25.461825262
6999600.0	2.725375665	0.0	24.063172142	14.398783335	1.1481962926999998	25.459375275
6999900.0	2.4995290302	0.0	24.0767182565	14.387591716	1.1388217212	25.4572793855
7000200.0	2.1363482524	0.4684856172	24.036784339	14.334458555	1.0590772201	25.458949420000003
7000500.0	1.9170196405	0.0	24.053311300000004	14.340973982999998	1.0255532868	25.459705216000003
7000800.0	2.2169103792	0.0	24.002882883	14.285895982	0.9514874375	25.456711583
7001100.0	2.199336709	0.0	24.01677422	14.264180708	0.9073718084	25.455057164000003
7001400.0	1.9564033558	0.0	24.012689127	14.252988573	0.8636027102	25.457388582
7001700.0	1.916933339	0.0	24.005428504	14.222580738	0.8087499386000001	25.457656257
7002000.0	1.9260357728	0.0	24.009540954	14.208827149	0.7686751635	25.456040926
7002300.0	1.660587392	0.0	23.993431004	14.170369018	0.6929013144	25.453133819
7002600.0	1.6230636084	0.0	23.969277049	14.13588236	0.6348142242000001	25.449730358000004
7002900.0	1.6118062244	0.4684856172	23.94947021	14.105295234	0.5820906651	25.447949305
7003200.0	1.516892122	0.0	23.9718354845	14.1030793705	0.5697698824	25.4418357075
7003500.0	1.0597927466	0.0	23.953579793	14.072762331	0.5062720115	25.441976845
7003800.0	1.0023609656	0.0310000002	23.945797549	14.041982638	0.4196114782	25.4396921405
7004100.0	0.9684971794	0.0	23.952977885	14.022417780999998	0.347192619	25.439849577
7004400.0	1.1882904247	0.0	23.893813592	13.970202546	0.2732602898	25.43595797
7004700.0	1.3027787612	0.4684856172	23.927996679	13.960412632	0.247067544	25.438147415000003
7005000.0	1.3203867192	0.0	23.960111966	13.954612642	0.2385848066999999	25.440084982
7005300.0	1.4692810086	0.0	23.913452342	13.905493808	0.2276708560999999	25.435925449000003
7005600.0	1.2300961614	0.0206666668	23.866984332	13.844133564	0.1466255115999999	25.432017664
7005900.0	1.1416230236	0.0103333334	23.902836615	13.842427128	0.1019263279	25.4312291475
7006200.0	1.2671146918	0.0	23.867620054	13.803006019	0.0690279606	25.437690104
7006500.0	0.9750179872	0.0	23.812580392	13.741921990000002	0.0058383942999999	25.448043132
7006800.0	0.586637474	0.0	23.849466548	13.743961195	-0.0374560528	25.4527073475
7007100.0	0.2740114674	0.0	23.861341536	13.7520818375	-0.088987003	25.452582031
7007400.0	0.1736540876	33.498649704	23.823948851	13.703608423	-0.2096998488	25.4637603475
7007700.0	0.130902355	0.0	23.818734274	13.663727557	-0.314906264	25.467692508
7008000.0	-0.0414447902	0.0	23.816794368	13.646839296	-0.3860861290999999	25.472892427
7008300.0	0.0218307705	0.0	23.791479961	13.606197463	-0.4666197486	25.472860915
7008600.0	0.2625955492	0.0	23.757149561	13.550329587	-0.5374459436000001	25.475366553
7008900.0	0.137042632	0.0	23.771436942	13.533139223	-0.5670554168999999	25.479510411
7009200.0	-0.1933689398	0.0	23.782232184	13.514849634	-0.606539222	25.472247033
7009500.0	-0.3190472949999999	0.0	23.762345679	13.4635682	-0.6761376705	25.466149734
7009800.0	0.1694920418	0.0832476028	23.774067256	13.448549165	-0.6766848185000001	25.469333145
7010100.0	0.201997888	0.1664952056	23.752941006	13.407609593	-0.6822841645	25.471633356
7010400.0	-0.0530236365	0.0	23.743430146	13.3817368335	-0.68049405845	25.470805989
7010700.0	-0.2184782015999999	0.0	23.749272659	13.37201035	-0.6720583122999999	25.465219804
7011000.0	-0.2994931534	0.0	23.710237743	13.333132626	-0.6842852425	25.460351207
7011300.0	-0.2916271246	0.0	23.685343202	13.290382252	-0.7008695208	25.467362578
7011600.0	-0.0973131168	0.0	23.718205497	13.286579899	-0.6848058365	25.469363793
7011900.0	0.3654141044	0.0	23.689818186000004	13.247266721	-0.6422554976	25.470529222
7012200.0	0.8355795448000001	0.0	23.689626528	13.243922897	-0.519588428	25.467346509
7012500.0	0.6557899718	1.3434568512000002	23.68288905	13.233953429	-0.4532007707	25.464936193
7012800.0	0.465125236	0.0	23.696990677	13.233117406	-0.4360842581999999	25.466952954
7013100.0	0.3164022166	0.0	23.664039964	13.196039479	-0.4789499297999999	25.465739722
7013400.0	0.2371960212	0.0	23.665859315	13.178884407	-0.5173086820999999	25.462509348
7013700.0	0.1558470768	0.4684856172	23.668721219	13.183455105	-0.5237682772	25.46367536
7014000.0	0.1546790438	0.0103333334	23.654333525	13.1687448675	-0.5144725349999999	25.461894659
7014300.0	0.2942442919	0.0310000002	23.644494317	13.165778358	-0.4492730944999999	25.463564988
7014600.0	0.6937623836	0.0	23.610056791	13.129341656	-0.3234976256	25.466038113
7014900.0	0.374162862	0.0	23.641997809	13.144971325	-0.1733956272	25.465076441
7015200.0	0.288828153	0.0	23.633087679	13.140438716	-0.0625049379	25.461909287
7015500.0	0.3038751684	0.0103333334	23.643486564	13.162648237	0.0784769433	25.46126287
7015800.0	0.4261732678	0.0206666668	23.622513255	13.152012845999998	0.216393959	25.478202209
7016100.0	0.4416154308	0.0	23.554984237	13.111166546	0.3252619403	25.531372252
7016400.0	0.4909306653999999	0.0	23.537976178	13.113865938	0.5017426621	25.554001951
7016700.0	0.617265733	0.0	23.52070798	13.126250097	0.7097295092	25.593191341
7017000.0	0.7191364142	0.2497428084	23.51303156	13.146296205	0.9106624435	25.625338757
7017300.0	0.9527076956	0.0	23.542521406	13.192753773	1.1166668201	25.621335911000003
7017600.0	1.0445107614000002	7.280512680799999	23.6509877605	13.294979971	1.3522475482999998	25.570228835
7017900.0	0.9904682344	0.0	23.620775366	13.311462666	1.4666161093	25.532298903000004
7018200.0	0.8958941956	0.0	23.596811791	13.343488028	1.5720915706	25.517140241
7018500.0	0.815288322	0.0	23.609418926	13.395324824	1.6571608091	25.502973602000004
7018800.0	0.9812675858	0.0	23.607657547	13.430065643	1.7651916477	25.488681116500004
7019100.0	1.217221753	0.0	23.541406546	13.412349356	1.8664606311	25.534096332000004
7019400.0	1.1755594116	0.0	23.518683898	13.436028094	1.9991795682	25.556220908
7019700.0	1.1036610320000002	0.0	23.529001785	13.480824293	2.1464614754	25.5758712015
7020000.0	1.2968688916	1.4996187232	23.567586191	13.546665893	2.3155907156	25.590889214
7020300.0	1.5009083498	0.0	23.516370348	13.541228793	2.4305169842	25.608869693000003
7020600.0	1.5300453348	0.0	23.525980266	13.593983236	2.5717041037	25.630647238
7020900.0	1.3977303854	0.0	23.507226321	13.618587722	2.6545083857	25.636872354
7021200.0	1.7393144814	0.0	23.4776382455	13.624192453	2.7393856138	25.641333342
7021500.0	1.997762256	1.1872949788	23.492846273	13.670665557	2.8875408322	25.650535936
7021800.0	2.1528007612	0.5936474894	23.502829076	13.710857089	3.0334840685	25.657076808
7022100.0	2.1624193978	0.0	23.514337326	13.761187655	3.1679766029000005	25.665649172
7022400.0	3.3627147608000003	0.9059712342	23.538040476	13.807651906	3.3396658731	25.678098357000003
7022700.0	4.346935952	0.0	23.546994723	13.862300591	3.57577875	25.683723269
7023000.0	4.485155689	0.6872284254000001	23.625901862	13.957905715	3.8343287192	25.624814629
7023300.0	4.9409186248	1.1557140426	23.664688412	14.035946036	4.0721246808	25.563338999
7023600.0	5.198845304	0.0310000002	23.575675754	14.010088275	4.2353317634	25.574088086
7023900.0	4.6172044691	2.3745899576	23.523157939	14.02619711	4.3716436319	25.58203177
7024200.0	3.7057075	0.0	23.536394701	14.07618977	4.4524593326	25.580219795000005
7024500.0	3.157879293	0.0	23.527543749	14.137407969	4.51534441295	25.581583545
7024800.0	3.0198424612	0.1561618723999999	23.530084593	14.176935844	4.5562942803	25.586318664
7025100.0	3.1011306628	0.3123237447999999	23.535537557	14.232415225	4.6265278399	25.595598736
7025400.0	3.4044960708	1.4157901842	23.546242468000003	14.279639005	4.715866778500001	25.5947246
7025700.0	4.0363117092	4.8895513193	23.547162097	14.311493717	4.832733509600001	25.595788499
7026000.0	4.9469538812	7.3631793472	23.532157599	14.340016895	4.995078259	25.595315982
7026300.0	5.395171157	8.4672267232	23.559643381	14.407958391	5.221679803999999	25.602343835
7026600.0	5.5713447394	10.5088262706	23.549730939	14.44479049	5.4374452071	25.605007118000003
7026900.0	5.721654055	10.071340652	23.514121349	14.458363919	5.6274328433	25.600815915
7027200.0	6.1240236584000005	10.3629977308	23.5326251	14.521932592	5.8558653461	25.572125312
7027500.0	6.180220379	10.9463118862	23.554089224	14.575424702	6.0419799146	25.563460194
7027800.0	6.2616728757	16.414882102	23.545344322	14.635930214	6.2435761609	25.557299663
7028100.0	6.4474952408	12.5504258166	23.546260648	14.6835605095	6.430282682950001	25.5571261035
7028400.0	7.114515967200001	17.508596144000002	23.565615671	14.739697075	6.6895951773	25.564248608
7028700.0	8.0230095098	20.206424114	23.539796263	14.772010734	7.0798644416	25.563193213
7029000.0	7.9790626512	17.94608176	23.557535217	14.838333965	7.3980752967	25.557049518
7029300.0	8.031291213	30.778993192	23.575878807	14.932521337	7.751720904800001	25.55673446
7029600.0	8.1104514291	33.659106836	23.570620081	15.021698272000002	8.135359190900001	25.562185886
7029900.0	8.142155862	31.216478808	23.574652682	15.107462212	8.431448959899999	25.560579025000003
7030200.0	8.1802330266	27.789508142	23.594549853	15.205520724	8.675351376	25.559381036
7030500.0	8.2837079956	43.611904622	23.592415304	15.295849803	8.980682361	25.559932283
7030800.0	8.3041407068	49.299217646	23.582733626	15.382310114	9.2817922827	25.566061851
7031100.0	8.361181854200002	64.90287132	23.619787187	15.514580034	9.7183656218	25.562974541000003
7031400.0	8.1026645438	59.798872456000005	23.594878629	15.586169353	10.0609136696	25.562343316
7031700.0	7.867901548499999	58.340587064	23.603982918	15.674704039999998	10.23087991	25.559649293
7032000.0	7.920996241599999	68.03818491	23.60835931	15.788840533	10.520660159999998	25.559003557
7032300.0	8.0531035634	56.15315898	23.622045508	15.897257908	10.78214322	25.561996872
7032600.0	8.0890623468	46.601389672	23.652251268	16.030002808	10.972207717	25.567731121
7032900.0	8.5620645278	44.049390242	23.657675698	16.134665804	11.083525825	25.570851588
7033200.0	8.7083669642	59.28847257	23.679653917	16.246535921	11.221188463	25.571702601
7033500.0	8.7872242382	57.173958755	23.649100883	16.295220868999998	11.351155478	25.56809474
7033800.0	8.948027728	84.07932419599999	23.702200672	16.43288317	11.69186518	25.573797869
7034100.0	9.3320008472	95.59977878	23.701064465	16.5115072	12.167570663	25.581771094
7034400.0	9.562226529	78.319096908	23.689160535	16.587621386000002	12.53347786	25.585616235
7034700.0	9.5921770238	89.766637218	23.687093825	16.670311788	12.808284415	25.580117911
7035000.0	9.8782581616	72.558869618	23.706155005	16.795098815	13.0477383455	25.584190829
7035300.0	10.196728022	55.059444936	23.717987540000003	16.877684205999998	13.168269854000002	25.582733815
7035600.0	9.8064776329	47.439903774	23.692044011	16.956668956	13.049472600999998	25.583600044
7035900.0	9.814469596	48.49716068	23.695163437	17.052207838	12.975403498	25.58649911
7036200.0	9.723059733	57.830187176	23.724871628	17.155857843	13.033010886	25.582496203
7036500.0	9.8060443528	61.402986384	23.785512104	17.272065893	13.198880402	25.585222595
7036800.0	9.8576142696	62.423786158000006	23.754665416	17.322661842000002	13.249889019	25.582056943
7037100.0	10.0585190766	70.51727007	23.782564013	17.399347591999998	13.402782108	25.581647186
7037400.0	10.494222385	74.6369263	23.778580625	17.454869665	13.598452443	25.589776967
