,Index (GIE-CPT-ELE-CVC-TDA2.4-GIENAH)
2022-07-17 00:30:00+00:00,2409604.649441248
2022-07-17 01:00:00+00:00,505201.91997520055
2022-07-17 01:30:00+00:00,1.0853125498845027e-05
2022-07-17 02:00:00+00:00,1.8132188858894203e-05
2022-07-17 02:30:00+00:00,2.178654340761049e-06
2022-07-17 03:00:00+00:00,-8.225488875593457e-06
2022-07-17 03:30:00+00:00,-4.564111520137105e-06
2022-07-17 04:00:00+00:00,357803.5017817027
2022-07-17 04:30:00+00:00,1872014.7598549547
2022-07-17 05:00:00+00:00,696629.0838290468
2022-07-17 05:30:00+00:00,1.65293727380534e-05
2022-07-17 06:00:00+00:00,1.2927144921074312e-05
2022-07-17 06:30:00+00:00,-8.386480488947458e-06
2022-07-17 07:00:00+00:00,2.157234719821385e-05
2022-07-17 07:30:00+00:00,1.7125002418955166e-05
2022-07-17 08:00:00+00:00,26226.190217084288
2022-07-17 08:30:00+00:00,1267363.4550450537
2022-07-17 09:00:00+00:00,1586827.4023494837
2022-07-17 09:30:00+00:00,-5.321407376171706e-06
2022-07-17 10:00:00+00:00,-1.1355962072099957e-05
2022-07-17 10:30:00+00:00,4.456870858267557e-07
2022-07-17 11:00:00+00:00,8.63402351163901e-06
2022-07-17 11:30:00+00:00,412267.7855723881
2022-07-17 12:00:00+00:00,1758994.7416434018
2022-07-17 12:30:00+00:00,693108.8612426609
2022-07-17 13:00:00+00:00,6.855808198451996e-06
2022-07-17 13:30:00+00:00,1.9706107676029206e-05
2022-07-17 14:00:00+00:00,391276.92265930877
2022-07-17 14:30:00+00:00,2269765.9583421783
2022-07-17 15:00:00+00:00,439457.0639864327
2022-07-17 15:30:00+00:00,0.0
2022-07-17 16:00:00+00:00,0.0
2022-07-17 16:30:00+00:00,0.0
2022-07-17 17:00:00+00:00,1613597.7748703896
2022-07-17 17:30:00+00:00,1640433.8129981481
2022-07-17 18:00:00+00:00,91089.85096960176
2022-07-17 18:30:00+00:00,-1.942451068988213e-05
2022-07-17 19:00:00+00:00,1.4355087386710306e-05
